satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,heure_supplementaires,augementation_salaire_precedente,genre,statut_marital,departement,poste,a_quitte_l_entreprise,domaine_etude,frequence_deplacement
4,2,3,4,4,3,3,50,10496,6,20,4,3,0,2,10,3,1,3,Non,15 %,M,Célibataire,Consulting,Manager,Non,Entrepreunariat,Occasionnel
3,2,2,3,1,3,3,40,6380,2,8,6,4,2,6,22,2,1,0,Oui,12 %,M,Marié(e),Commercial,Cadre Commercial,Oui,Marketing,Occasionnel
3,2,1,2,4,3,3,31,2657,0,3,2,2,0,5,9,4,2,2,Oui,16 %,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,4,1,2,4,3,3,21,2716,1,1,1,0,0,0,12,3,0,0,Non,15 %,F,Célibataire,Commercial,Représentant Commercial,Oui,Infra & Cloud,Occasionnel
4,3,1,4,4,3,3,29,2201,9,6,3,2,0,4,23,3,1,2,Non,16 %,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,2,2,2,3,3,3,35,6540,9,10,1,1,0,5,9,4,0,0,Non,19 %,M,Célibataire,Consulting,Manager,Non,Infra & Cloud,Occasionnel
4,3,1,2,2,3,3,27,3816,1,5,5,2,1,2,1,2,0,4,Non,11 %,M,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
2,3,2,4,4,3,3,28,5253,1,7,7,5,0,1,9,4,0,7,Non,16 %,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
2,2,3,3,3,3,4,49,10965,8,26,5,2,0,2,7,3,0,0,Non,24 %,M,Célibataire,Consulting,Manager,Non,Autre,Occasionnel
3,3,2,4,3,2,3,51,4936,4,18,7,7,1,2,14,2,0,7,Non,11 %,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
4,3,1,3,2,3,3,36,2543,4,6,2,2,1,3,2,3,2,2,Non,13 %,F,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
1,4,2,4,2,2,3,34,5304,8,9,5,2,0,3,19,3,0,4,Oui,13 %,M,Célibataire,Commercial,Cadre Commercial,Oui,Marketing,Aucun
3,3,4,4,3,3,3,55,16659,2,30,5,4,0,2,2,3,1,2,Oui,13 %,F,Célibataire,Consulting,Senior Manager,Non,Infra & Cloud,Occasionnel
4,3,2,3,4,4,3,24,4260,1,5,5,2,1,2,10,4,0,3,Oui,12 %,F,Divorcé(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
3,3,1,2,1,3,3,30,2476,1,1,1,0,1,3,2,1,0,0,Non,18 %,M,Marié(e),Commercial,Représentant Commercial,Non,Entrepreunariat,Occasionnel
3,3,1,1,3,3,4,26,3102,0,7,6,4,0,2,3,1,0,4,Non,22 %,M,Célibataire,Consulting,Assistant de Direction,Oui,Entrepreunariat,Frequent
1,3,1,2,4,3,3,22,2244,1,2,2,1,1,1,11,3,1,2,Non,13 %,F,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
2,2,3,3,2,3,3,36,7596,1,10,10,9,2,2,2,2,9,0,Non,13 %,M,Marié(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
3,3,1,4,3,3,4,30,2285,9,3,1,0,0,4,4,3,0,0,Oui,23 %,M,Célibataire,Consulting,Assistant de Direction,Oui,Entrepreunariat,Frequent
4,3,1,1,3,2,3,37,3034,1,18,18,7,1,2,14,3,12,17,Non,12 %,F,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
4,3,2,2,3,3,3,40,5715,7,8,5,4,2,5,2,2,1,3,Non,12 %,F,Divorcé(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
2,3,1,1,2,3,3,42,2576,3,8,5,2,1,5,1,4,1,2,Non,16 %,F,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
3,3,2,2,4,2,3,37,4197,2,18,1,0,0,2,10,4,0,1,Oui,12 %,M,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
1,2,4,2,3,3,3,43,14336,1,25,25,10,1,3,12,3,3,9,Non,11 %,M,Divorcé(e),Consulting,Directeur Technique,Non,Infra & Cloud,Occasionnel
2,2,2,3,2,3,4,40,3448,6,20,1,0,1,3,2,3,0,0,Non,22 %,F,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
1,3,5,1,3,2,3,54,19406,4,24,4,2,1,4,5,2,1,2,Non,11 %,M,Marié(e),Consulting,Directeur Technique,Non,Transformation Digitale,Occasionnel
3,3,2,3,1,3,3,34,6538,9,6,3,2,1,3,4,4,1,2,Non,15 %,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Aucun
2,3,2,1,2,1,3,31,4306,1,13,13,10,1,5,7,2,3,12,Non,12 %,F,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
4,3,1,4,1,3,4,43,2258,7,8,3,2,1,1,21,3,1,2,Non,20 %,M,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Frequent
3,3,2,3,4,3,3,43,4522,4,8,5,2,0,3,8,4,0,2,Oui,14 %,F,Divorcé(e),Consulting,Manager,Non,Autre,Occasionnel
2,2,2,4,2,3,3,25,4487,1,5,5,4,0,3,4,2,1,3,Oui,11 %,F,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
2,3,2,3,1,3,3,37,4449,3,15,13,11,2,2,25,5,10,7,Oui,15 %,F,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Aucun
4,2,1,1,3,3,3,31,2218,1,4,4,2,1,3,1,2,3,2,Non,12 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
2,3,5,3,3,3,3,39,19197,1,21,21,8,1,3,1,1,1,6,Oui,14 %,M,Divorcé(e),Consulting,Senior Manager,Non,Infra & Cloud,Frequent
3,4,4,1,4,2,3,56,13212,9,36,7,7,3,0,6,3,7,7,Non,11 %,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Frequent
2,3,2,3,2,3,3,30,6577,0,6,5,4,0,6,12,3,4,4,Non,11 %,F,Célibataire,Commercial,Cadre Commercial,Non,Entrepreunariat,Occasionnel
2,4,3,1,3,3,3,41,8392,1,10,10,7,1,2,1,3,0,7,Non,16 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
3,3,2,1,4,3,3,28,4558,1,10,10,0,1,2,17,2,1,8,Non,12 %,M,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
1,3,1,1,3,3,3,25,4031,5,6,2,2,1,5,3,3,0,2,Non,13 %,M,Marié(e),Consulting,Consultant,Oui,Transformation Digitale,Occasionnel
4,2,3,3,3,3,3,52,7969,2,28,5,4,0,4,3,3,0,4,Oui,14 %,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
1,3,1,4,4,2,4,45,2654,3,8,2,2,2,3,10,2,0,2,Non,21 %,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
4,3,4,4,4,1,3,52,16555,2,31,5,2,0,2,4,2,1,4,Non,13 %,F,Marié(e),Consulting,Senior Manager,Non,Infra & Cloud,Occasionnel
1,3,2,3,2,3,3,42,4556,2,19,5,4,1,3,29,2,0,2,Non,11 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Frequent
3,1,2,4,3,3,4,30,6091,2,11,5,4,0,2,2,3,0,2,Non,20 %,F,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
1,3,5,1,4,1,3,60,19566,5,33,29,8,0,5,7,3,11,10,Non,11 %,F,Marié(e),Consulting,Senior Manager,Non,Infra & Cloud,Occasionnel
3,3,2,3,3,2,3,46,4810,2,19,10,7,1,5,18,3,0,8,Non,14 %,F,Divorcé(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
4,2,2,4,4,4,3,42,4523,0,7,6,5,3,4,28,4,0,4,Non,11 %,F,Marié(e),Consulting,Manager,Non,Entrepreunariat,Frequent
1,3,1,2,2,3,3,24,3202,1,6,5,3,0,4,1,1,1,4,Oui,16 %,F,Célibataire,Commercial,Représentant Commercial,Oui,Entrepreunariat,Occasionnel
4,1,1,3,4,2,3,34,2351,0,3,2,2,1,3,6,2,1,0,Non,16 %,F,Divorcé(e),Commercial,Représentant Commercial,Oui,Marketing,Frequent
4,3,1,4,3,3,4,38,1702,1,1,1,0,1,3,2,2,0,0,Oui,23 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Frequent
3,3,5,3,4,3,3,40,18041,0,21,20,15,0,2,2,4,1,12,Non,14 %,F,Marié(e),Commercial,Senior Manager,Non,Infra & Cloud,Occasionnel
1,3,1,4,2,1,4,26,2886,1,3,3,2,2,3,23,3,0,2,Non,22 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,3,1,4,3,1,3,30,2097,4,9,5,3,1,3,3,3,1,4,Non,15 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Aucun
2,2,3,3,3,3,3,29,11935,1,10,10,2,0,2,3,4,0,7,Non,18 %,M,Marié(e),Consulting,Directeur Technique,Non,Transformation Digitale,Occasionnel
3,2,1,2,2,4,3,29,2546,5,6,2,2,0,2,25,5,1,1,Non,16 %,F,Marié(e),Consulting,Assistant de Direction,Oui,Entrepreunariat,Occasionnel
1,2,1,4,3,4,3,19,2564,1,1,1,0,0,3,2,2,0,0,Non,12 %,M,Célibataire,Ressources Humaines,Ressources Humaines,Oui,Entrepreunariat,Occasionnel
3,3,3,1,3,3,3,30,8412,0,10,9,8,0,3,22,4,7,8,Non,11 %,F,Marié(e),Commercial,Cadre Commercial,Non,Autre,Aucun
1,2,4,4,3,2,3,57,14118,3,32,1,0,1,3,29,3,0,0,Non,12 %,M,Divorcé(e),Commercial,Senior Manager,Non,Marketing,Occasionnel
2,2,4,3,2,3,3,50,17046,0,28,27,10,1,2,29,4,15,7,Non,15 %,M,Marié(e),Consulting,Senior Manager,Non,Infra & Cloud,Occasionnel
3,3,1,4,3,2,3,30,2564,0,12,11,7,0,2,2,3,6,7,Non,14 %,F,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Aucun
3,2,3,1,4,4,3,60,10266,4,22,18,13,0,5,28,3,13,11,Non,19 %,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Frequent
1,3,2,4,3,3,3,47,5070,5,20,5,0,3,2,2,2,0,4,Non,13 %,F,Divorcé(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
1,3,4,3,3,1,3,46,17861,6,26,3,2,0,2,2,3,0,1,Non,13 %,M,Marié(e),Consulting,Directeur Technique,Non,Infra & Cloud,Occasionnel
4,1,1,3,3,3,3,35,4230,0,6,5,4,0,2,22,3,4,3,Non,15 %,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Occasionnel
3,3,2,3,3,3,3,54,3780,7,19,1,0,0,3,8,4,0,0,Non,11 %,F,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Occasionnel
4,2,1,3,3,3,3,34,2768,3,14,7,3,1,3,2,4,5,7,Non,12 %,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,2,3,4,3,3,3,46,9071,2,15,3,2,1,3,10,3,1,2,Oui,19 %,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
3,3,3,2,4,4,4,31,10648,1,13,13,8,1,6,9,1,0,8,Non,25 %,M,Divorcé(e),Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
2,3,3,3,4,4,3,33,13610,7,15,7,6,0,2,15,1,7,7,Oui,12 %,M,Marié(e),Consulting,Senior Manager,Oui,Transformation Digitale,Occasionnel
1,1,1,4,1,3,3,33,3408,7,8,4,3,3,2,10,1,1,3,Non,13 %,M,Divorcé(e),Consulting,Consultant,Oui,Transformation Digitale,Occasionnel
4,3,1,2,1,3,3,30,2983,0,4,3,2,0,3,7,1,1,2,Non,14 %,M,Célibataire,Commercial,Représentant Commercial,Non,Marketing,Occasionnel
4,3,3,3,3,3,3,35,7632,4,10,8,7,0,2,16,3,0,0,Oui,12 %,M,Marié(e),Consulting,Manager,Non,Infra & Cloud,Occasionnel
1,3,3,3,1,3,3,31,9824,3,12,1,0,0,2,20,3,0,0,Non,12 %,M,Marié(e),Consulting,Manager,Oui,Infra & Cloud,Frequent
2,3,3,1,3,3,3,34,9950,9,11,3,2,3,2,23,3,0,2,Oui,15 %,F,Divorcé(e),Ressources Humaines,Ressources Humaines,Oui,Ressources Humaines,Frequent
2,3,1,3,4,3,3,42,2093,4,8,2,2,1,4,5,2,2,0,Non,17 %,M,Marié(e),Consulting,Consultant,Non,Autre,Frequent
2,3,3,4,4,2,3,36,9980,1,10,10,3,0,3,10,4,9,7,Non,14 %,M,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Aucun
3,2,1,3,3,3,3,22,3894,5,4,2,2,0,3,4,1,1,2,Non,16 %,M,Célibataire,Consulting,Consultant,Oui,Entrepreunariat,Frequent
2,3,2,4,1,3,3,48,4051,2,14,9,7,1,2,2,5,6,7,Non,14 %,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
1,3,4,2,4,3,4,55,16835,3,37,10,9,0,2,18,5,7,7,Non,23 %,F,Célibataire,Commercial,Senior Manager,Non,Infra & Cloud,Occasionnel
4,3,2,4,4,3,3,41,6230,7,16,14,3,0,3,10,2,1,10,Non,14 %,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Aucun
2,3,2,3,3,3,3,35,4717,9,15,11,9,0,2,1,3,6,9,Non,11 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
2,3,4,3,3,3,3,40,13237,7,22,20,6,0,3,6,3,5,13,Non,15 %,F,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
3,3,1,3,1,3,3,39,3755,1,8,8,3,1,3,8,1,0,7,Non,11 %,F,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Frequent
2,3,2,4,3,4,3,31,6582,4,10,6,5,0,2,2,1,0,5,Oui,13 %,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
4,3,3,1,4,2,4,42,7406,1,10,10,9,1,5,24,3,5,8,Oui,21 %,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
4,3,2,2,2,4,3,45,4805,0,9,8,7,1,3,2,3,3,7,Non,19 %,M,Marié(e),Commercial,Cadre Commercial,Non,Autre,Occasionnel
2,3,1,3,2,2,3,26,2741,0,8,7,7,1,2,17,4,1,0,Oui,11 %,F,Divorcé(e),Ressources Humaines,Ressources Humaines,Oui,Infra & Cloud,Frequent
4,3,2,4,2,4,3,29,4262,4,8,3,2,2,2,19,3,1,2,Non,12 %,M,Divorcé(e),Consulting,Tech Lead,Non,Entrepreunariat,Occasionnel
1,4,4,3,3,3,3,33,16184,4,10,6,1,1,2,1,5,0,5,Non,19 %,F,Divorcé(e),Consulting,Directeur Technique,Non,Transformation Digitale,Occasionnel
3,2,3,4,3,2,4,31,11557,9,10,5,4,1,3,7,3,0,1,Non,21 %,M,Divorcé(e),Commercial,Senior Manager,Non,Infra & Cloud,Occasionnel
2,3,1,2,4,3,3,18,1878,1,0,0,0,0,3,5,3,0,0,Oui,14 %,M,Célibataire,Commercial,Représentant Commercial,Oui,Marketing,Frequent
3,1,3,1,3,3,3,40,10932,3,20,1,0,1,2,28,3,0,1,Non,15 %,M,Divorcé(e),Commercial,Cadre Commercial,Non,Autre,Aucun
1,2,2,3,1,3,3,41,6811,2,10,8,7,0,3,2,4,0,7,Oui,17 %,F,Célibataire,Consulting,Manager,Non,Autre,Aucun
1,3,2,3,1,3,3,26,4306,5,8,0,0,2,5,29,2,0,0,Non,12 %,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
1,3,2,3,4,3,3,35,4859,1,5,5,4,0,3,1,3,0,3,Non,16 %,F,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
4,4,2,4,4,3,3,34,5337,1,10,10,7,0,3,21,4,5,7,Non,12 %,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
3,1,1,4,2,1,3,26,2340,1,1,1,0,0,3,24,3,0,0,Oui,18 %,M,Célibataire,Consulting,Consultant,Oui,Entrepreunariat,Occasionnel
2,3,3,4,4,4,3,37,7491,4,12,6,5,0,3,1,3,1,2,Non,17 %,F,Célibataire,Consulting,Tech Lead,Non,Entrepreunariat,Occasionnel
1,3,3,3,4,2,3,46,10527,5,28,2,2,0,3,18,1,1,2,Non,11 %,F,Marié(e),Consulting,Manager,Non,Transformation Digitale,Frequent
2,3,4,1,2,3,3,41,16595,7,22,18,16,1,2,2,5,11,8,Non,16 %,F,Marié(e),Commercial,Senior Manager,Non,Infra & Cloud,Occasionnel
1,3,3,2,4,3,3,37,8834,1,9,9,5,1,6,9,4,7,7,Non,13 %,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Aucun
4,3,2,1,2,3,3,52,5577,3,18,10,9,2,3,6,2,6,9,Oui,12 %,M,Divorcé(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Occasionnel
4,4,2,3,4,3,3,32,4707,8,6,4,2,0,2,11,4,1,2,Non,12 %,M,Marié(e),Commercial,Cadre Commercial,Oui,Autre,Aucun
4,3,1,4,3,3,3,24,2400,0,3,2,2,2,3,24,3,2,1,Non,13 %,M,Marié(e),Commercial,Représentant Commercial,Non,Transformation Digitale,Frequent
3,3,2,3,3,3,3,38,9824,3,18,1,0,1,4,10,3,0,0,Non,19 %,F,Marié(e),Consulting,Manager,Non,Transformation Digitale,Occasionnel
2,3,2,2,2,2,3,37,6447,6,8,6,5,1,2,1,4,4,3,Non,12 %,F,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
4,2,5,3,3,3,3,49,19502,1,31,31,9,1,5,18,4,0,9,Oui,17 %,M,Divorcé(e),Consulting,Directeur Technique,Non,Infra & Cloud,Occasionnel
2,4,1,4,2,3,3,24,2725,1,6,6,5,2,3,23,3,1,4,Oui,11 %,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
1,3,2,2,4,4,4,26,6272,1,6,5,3,2,5,28,2,1,4,Non,20 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
4,2,1,2,4,3,4,24,2127,1,1,1,0,1,2,17,2,0,0,Non,21 %,M,Marié(e),Consulting,Consultant,Non,Autre,Occasionnel
1,3,5,2,3,3,3,50,18200,1,32,32,5,1,2,3,3,10,7,Non,11 %,M,Marié(e),Ressources Humaines,Senior Manager,Non,Transformation Digitale,Frequent
2,3,1,3,3,3,3,25,2096,1,7,7,4,0,1,13,1,0,6,Non,11 %,M,Marié(e),Commercial,Représentant Commercial,Non,Transformation Digitale,Occasionnel
1,3,1,3,4,3,3,24,2886,1,6,6,3,1,4,7,3,1,2,Oui,16 %,F,Marié(e),Consulting,Consultant,Oui,Infra & Cloud,Frequent
2,2,1,1,3,4,3,30,2033,1,1,1,0,1,2,12,4,0,0,Non,18 %,M,Marié(e),Commercial,Représentant Commercial,Oui,Infra & Cloud,Frequent
2,2,1,4,4,3,3,34,3622,1,6,6,5,1,3,1,2,1,3,Oui,13 %,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
2,3,2,1,3,1,3,31,4233,2,9,3,1,0,2,13,4,1,2,Non,17 %,M,Divorcé(e),Commercial,Cadre Commercial,Oui,Transformation Digitale,Occasionnel
1,2,2,4,4,3,3,35,3681,4,9,3,2,0,3,25,2,0,2,Non,14 %,M,Célibataire,Consulting,Consultant,Non,Autre,Occasionnel
1,4,2,4,4,4,4,31,5460,4,13,7,7,2,4,6,4,5,7,Non,22 %,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
1,2,1,3,3,2,3,27,2187,0,6,5,3,2,5,6,4,0,3,Non,12 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
4,3,2,3,3,2,3,37,9602,4,17,3,0,1,3,2,3,1,0,Oui,11 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
4,2,1,2,4,4,3,20,2836,1,1,1,0,0,0,1,3,0,0,Non,13 %,F,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,3,2,4,2,3,3,42,4089,1,10,10,2,2,4,2,4,2,2,Non,13 %,F,Marié(e),Consulting,Manager,Non,Infra & Cloud,Occasionnel
2,2,4,4,3,2,3,43,16627,4,21,1,0,1,3,6,4,0,0,Oui,14 %,M,Divorcé(e),Consulting,Directeur Technique,Non,Autre,Occasionnel
3,3,1,1,4,2,3,38,2619,3,8,0,0,0,3,1,1,0,0,Non,17 %,F,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
4,3,2,3,2,3,3,43,5679,3,10,8,7,1,3,9,5,4,7,Oui,13 %,M,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Frequent
4,2,4,1,1,1,3,48,15402,7,21,3,2,1,3,1,4,0,2,Non,11 %,F,Marié(e),Consulting,Senior Manager,Non,Infra & Cloud,Occasionnel
1,2,2,3,2,4,3,44,5985,4,10,2,2,0,1,1,4,0,2,Non,11 %,F,Célibataire,Ressources Humaines,Ressources Humaines,Non,Infra & Cloud,Occasionnel
3,3,1,3,4,3,3,34,2579,1,8,8,2,2,3,14,3,0,6,Oui,18 %,F,Divorcé(e),Commercial,Représentant Commercial,Non,Entrepreunariat,Occasionnel
3,3,1,1,2,3,3,27,3041,0,5,4,3,1,3,2,1,0,2,Non,11 %,M,Divorcé(e),Commercial,Représentant Commercial,Oui,Marketing,Occasionnel
3,3,1,3,3,3,3,21,3447,1,3,3,2,0,2,22,1,1,2,Non,11 %,M,Célibataire,Commercial,Représentant Commercial,Non,Entrepreunariat,Occasionnel
4,3,5,4,1,4,3,44,19513,4,26,2,2,1,2,3,4,0,1,Oui,12 %,M,Marié(e),Consulting,Senior Manager,Non,Autre,Occasionnel
1,3,1,3,4,3,4,22,2773,0,3,2,2,0,3,6,1,2,2,Non,20 %,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
3,3,2,3,4,3,3,33,7104,0,6,5,0,0,3,8,4,1,2,Non,12 %,M,Divorcé(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
1,3,2,4,4,2,3,32,6322,1,6,6,4,1,2,9,4,0,5,Oui,12 %,F,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,3,1,3,3,3,4,30,2083,1,1,1,0,1,2,3,3,0,0,Non,20 %,F,Divorcé(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Frequent
4,3,2,1,4,4,4,53,8381,7,18,14,7,0,2,1,1,8,10,Non,20 %,F,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
2,3,1,4,4,2,3,34,2691,1,10,10,9,1,4,1,5,8,8,Non,12 %,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
1,3,2,1,4,3,3,45,4286,2,5,1,1,2,4,26,4,0,0,Non,14 %,F,Marié(e),Commercial,Cadre Commercial,Oui,Infra & Cloud,Frequent
3,3,1,4,3,3,3,26,2659,1,3,3,2,1,2,6,3,0,2,Oui,13 %,F,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
3,3,3,3,3,3,3,37,9434,1,10,10,7,1,2,3,3,7,8,Non,15 %,M,Marié(e),Consulting,Tech Lead,Non,Autre,Occasionnel
2,3,2,3,1,2,3,29,5561,1,6,6,0,1,5,3,2,1,2,Non,14 %,F,Marié(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Occasionnel
2,1,2,4,2,3,3,35,6646,1,17,17,11,0,3,6,4,11,8,Non,13 %,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
3,3,2,4,3,1,4,33,7725,3,15,13,11,1,2,6,3,4,7,Non,23 %,M,Divorcé(e),Consulting,Manager,Non,Infra & Cloud,Frequent
3,3,3,2,3,4,3,54,10725,2,16,9,7,1,1,19,4,7,1,Non,15 %,M,Marié(e),Ressources Humaines,Ressources Humaines,Non,Transformation Digitale,Occasionnel
2,2,2,2,3,3,3,36,8847,2,13,3,2,1,2,9,2,0,2,Oui,11 %,M,Divorcé(e),Consulting,Tech Lead,Non,Transformation Digitale,Occasionnel
1,2,1,4,4,3,3,27,2045,0,5,4,2,0,0,3,4,1,1,Non,13 %,M,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
4,3,1,3,4,3,3,20,1009,1,1,1,0,0,5,10,1,1,1,Oui,11 %,M,Célibataire,Consulting,Assistant de Direction,Oui,Transformation Digitale,Occasionnel
1,3,1,1,1,3,3,33,3348,1,10,10,8,0,3,3,3,9,7,Oui,11 %,M,Célibataire,Consulting,Assistant de Direction,Oui,Infra & Cloud,Frequent
3,2,1,3,3,3,3,35,1281,1,1,1,0,2,3,3,3,0,0,Non,18 %,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Aucun
1,4,1,1,1,4,3,23,2819,2,5,3,2,1,3,4,3,0,2,Non,16 %,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Occasionnel
4,4,2,2,3,3,4,25,4851,0,4,3,2,1,4,8,3,1,2,Non,22 %,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Occasionnel
4,2,2,4,1,3,4,38,4028,0,8,7,7,0,2,7,4,0,5,Non,20 %,F,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Occasionnel
2,1,1,4,4,3,3,29,2720,1,10,10,7,1,5,1,4,2,8,Non,18 %,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Frequent
2,4,2,2,4,3,3,48,8120,3,12,2,2,0,3,2,1,2,2,Non,12 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
4,4,2,4,2,3,4,27,4647,1,6,6,5,2,3,3,1,0,4,Oui,20 %,F,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Frequent
4,4,1,4,1,3,3,37,4680,3,4,1,0,0,2,10,2,0,0,Non,17 %,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
4,4,1,3,3,3,3,50,3221,1,20,20,8,3,3,28,1,3,8,Oui,11 %,M,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,2,3,2,2,4,3,34,8621,1,9,8,7,0,3,9,3,7,7,Non,14 %,F,Célibataire,Consulting,Manager,Non,Transformation Digitale,Occasionnel
1,3,2,3,1,3,3,24,4577,9,4,2,2,0,3,3,2,2,0,Non,14 %,F,Célibataire,Commercial,Cadre Commercial,Oui,Infra & Cloud,Occasionnel
4,2,2,3,1,3,3,39,4553,1,20,20,7,0,4,2,4,11,10,Non,11 %,F,Célibataire,Consulting,Manager,Non,Entrepreunariat,Occasionnel
